Lake,Latitude,Longitude,City
Backbone,42.6012688226739,-91.53450481514818,Dundee
Beed’s Lake,42.77066261941665,-93.24112808630895,Hampton
Big Creek,41.8196529490171,-93.7397097293293,Polk City
Black Hawk,42.29370651134876,-95.01813700166107,Waterloo
Brushy Creek,42.38828053993223,-93.97831381515324,Lehigh
Clear Lake,43.11148252943943,-93.39668531377309,Clear Lake
Crandall’s,43.49051232257253,-95.12428185646502,Spirit Lake Township
Denison,42.301450204703805,-95.03488983234246,Lake View
Emerson Bay,43.35771889779668,-95.17477289723534,Milford
George Wyth,42.5370113317985,-92.40373867267336,Cedar Falls
Green Valley,41.11129326386076,-94.38048001649445,Creston
Gull Point,43.37162282284067,-95.16001852520662,Wahpeton
Honey Creek Resort,40.86435334503104,-92.93334234851584,Moravia
Lacey-Keosauqua,40.709191197275224,-91.97121973833364,Keosauqua
Lake Ahquabi,41.2901869218193,-93.59147796607299,Indianola
Lake Anita,41.43068422836686,-94.7675609650647,Anita
Lake Darling,41.19115203011152,-91.89248578795001,Brighton
Lake Keomah,41.291338222416975,-92.53953827429045,Oskaloosa
Lake Macbride,41.797508148357245,-91.56465529392669,Solon
Lake Manawa,41.201828542107286,-95.85987611690949,Council Bluffs
Lake Wapello,40.813184462133634,-92.58129172586715,Drakesville
Lake of Three Fires,40.72396590467032,-94.69279283970889,Bedford
Lewis and Clark (Blue Lake),42.040639459702476,-96.1618379024848,Onawa
Lower Pine Lake,42.37041192908898,-93.07781554637049,Eldora
McIntosh Woods,43.1296209815044,-93.45301820574458,Ventura
Nine Eagles,40.59961897810072,-93.76649680549708,Davis City
North Twin Lake East,42.49362337976533,-94.6205366538862,Rockwell City
North Twin Lake West,42.480204996084076,-94.63396915615978,Rockwell City
Pike’s Point,43.41624923401366,-95.16461553983962,Spirit Lake
Pleasant Creek Lake,42.1206894413454,-91.81189055866443,Palo
Prairie Rose,41.60366321544283,-95.21578435344063,Harlan
Red Haw,40.99785158278758,-93.27630402345474,Chariton
Rock Creek,41.75758740554477,-92.84034706255427,Kellogg
Springbrook,41.77663346195021,-94.46603561255156,Guthrie Center
Triboji,43.4266572751144,-95.17338824846556,Okoboji
Union Grove,42.12510956035122,-92.71875078206195,Garwin
Viking Lake,40.97187879661698,-95.036757563867,Stanton